"downloaded","item_id","item_definition","category","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
2023-04-18,67,"악어","animals",0.18,0.08,0.22,0.32,0.46,0.47,0.59,0.7,0.59,0.75,0.74,0.82,0.83,0.92,0.81,0.85,0.84,0.91,0.96
2023-04-18,68,"양","animals",0.18,0.09,0.09,0.22,0.37,0.37,0.49,0.51,0.6,0.65,0.62,0.75,0.64,0.73,0.63,0.75,0.76,0.71,0.82
2023-04-18,69,"여우","animals",0.06,0.06,0.06,0.21,0.31,0.27,0.33,0.51,0.47,0.58,0.53,0.72,0.59,0.71,0.67,0.69,0.8,0.8,0.85
2023-04-18,70,"염소","animals",0.12,0.03,0.09,0.1,0.26,0.21,0.31,0.45,0.47,0.53,0.6,0.62,0.59,0.63,0.57,0.69,0.67,0.67,0.79
2023-04-18,71,"오리","animals",0.26,0.29,0.34,0.37,0.5,0.5,0.68,0.73,0.71,0.77,0.81,0.86,0.77,0.9,0.88,0.87,0.89,0.88,0.94
2023-04-18,72,"원숭이","animals",0.09,0.09,0.15,0.17,0.34,0.31,0.54,0.62,0.57,0.62,0.71,0.79,0.73,0.82,0.87,0.88,0.86,0.91,0.93
2023-04-18,73,"쥐","animals",0.14,0.12,0.1,0.14,0.26,0.31,0.44,0.59,0.5,0.59,0.65,0.76,0.66,0.73,0.67,0.72,0.76,0.81,0.89
2023-04-18,74,"참새","animals",0.15,0.02,0.15,0.17,0.23,0.21,0.42,0.48,0.49,0.53,0.6,0.56,0.59,0.63,0.6,0.72,0.61,0.7,0.73
2023-04-18,75,"코끼리","animals",0.28,0.22,0.3,0.3,0.43,0.47,0.7,0.75,0.74,0.81,0.83,0.84,0.83,0.97,0.94,0.92,0.93,0.94,0.97
2023-04-18,76,"토끼","animals",0.34,0.29,0.36,0.4,0.5,0.56,0.77,0.75,0.74,0.82,0.88,0.89,0.83,0.96,0.94,0.92,0.92,0.91,0.99
2023-04-18,77,"펭귄","animals",0.11,0.05,0.09,0.17,0.27,0.3,0.43,0.49,0.51,0.6,0.64,0.74,0.67,0.77,0.78,0.77,0.82,0.86,0.85
2023-04-18,78,"하마","animals",0.23,0.17,0.18,0.25,0.41,0.36,0.53,0.6,0.59,0.66,0.76,0.8,0.74,0.77,0.82,0.76,0.84,0.87,0.92
2023-04-18,79,"호랑이","animals",0.32,0.12,0.31,0.4,0.36,0.56,0.65,0.77,0.69,0.73,0.83,0.84,0.77,0.93,0.87,0.92,0.93,0.94,0.99
2023-04-18,80,"가방","clothing",0.25,0.28,0.4,0.43,0.49,0.54,0.69,0.77,0.79,0.8,0.83,0.92,0.87,0.97,0.96,0.96,0.92,0.94,0.97
2023-04-18,81,"구두","clothing",0.14,0.06,0.15,0.21,0.29,0.31,0.37,0.59,0.46,0.6,0.58,0.6,0.6,0.67,0.75,0.71,0.75,0.8,0.86
2023-04-18,82,"기저귀","clothing",0.26,0.29,0.33,0.46,0.47,0.47,0.63,0.75,0.74,0.78,0.78,0.85,0.76,0.9,0.9,0.89,0.86,0.91,0.87
2023-04-18,83,"단추","clothing",0.14,0.12,0.22,0.21,0.31,0.33,0.51,0.66,0.56,0.68,0.65,0.8,0.71,0.81,0.76,0.79,0.86,0.88,0.93
